Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Bilans Alimentaires (2010-)","Hongrie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","243"
"Bilans Alimentaires (2010-)","Hongrie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","258"
"Bilans Alimentaires (2010-)","Îles Salomon","Nourriture","Viande de Volailles","2015","Milliers de tonnes","3"
"Bilans Alimentaires (2010-)","Îles Salomon","Nourriture","Viande de Volailles","2019","Milliers de tonnes","4"
"Bilans Alimentaires (2010-)","Inde","Nourriture","Viande de Volailles","2015","Milliers de tonnes","3383"
"Bilans Alimentaires (2010-)","Inde","Nourriture","Viande de Volailles","2019","Milliers de tonnes","4227"
"Bilans Alimentaires (2010-)","Indonésie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","1931"
"Bilans Alimentaires (2010-)","Indonésie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","2176"
"Bilans Alimentaires (2010-)","Iran (République islamique d')","Nourriture","Viande de Volailles","2015","Milliers de tonnes","2083"
"Bilans Alimentaires (2010-)","Iran (République islamique d')","Nourriture","Viande de Volailles","2019","Milliers de tonnes","2242"
"Bilans Alimentaires (2010-)","Iraq","Nourriture","Viande de Volailles","2015","Milliers de tonnes","343"
"Bilans Alimentaires (2010-)","Iraq","Nourriture","Viande de Volailles","2019","Milliers de tonnes","206"
"Bilans Alimentaires (2010-)","Irlande","Nourriture","Viande de Volailles","2015","Milliers de tonnes","125"
"Bilans Alimentaires (2010-)","Irlande","Nourriture","Viande de Volailles","2019","Milliers de tonnes","130"
"Bilans Alimentaires (2010-)","Islande","Nourriture","Viande de Volailles","2015","Milliers de tonnes","9"
"Bilans Alimentaires (2010-)","Islande","Nourriture","Viande de Volailles","2019","Milliers de tonnes","11"
"Bilans Alimentaires (2010-)","Israël","Nourriture","Viande de Volailles","2015","Milliers de tonnes","530"
"Bilans Alimentaires (2010-)","Israël","Nourriture","Viande de Volailles","2019","Milliers de tonnes","611"
"Bilans Alimentaires (2010-)","Italie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","1122"
"Bilans Alimentaires (2010-)","Italie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","1136"
"Bilans Alimentaires (2010-)","Jamaïque","Nourriture","Viande de Volailles","2015","Milliers de tonnes","152"
"Bilans Alimentaires (2010-)","Jamaïque","Nourriture","Viande de Volailles","2019","Milliers de tonnes","161"
"Bilans Alimentaires (2010-)","Japon","Nourriture","Viande de Volailles","2015","Milliers de tonnes","2263"
"Bilans Alimentaires (2010-)","Japon","Nourriture","Viande de Volailles","2019","Milliers de tonnes","2454"
"Bilans Alimentaires (2010-)","Jordanie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","268"
"Bilans Alimentaires (2010-)","Jordanie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","237"
"Bilans Alimentaires (2010-)","Kazakhstan","Nourriture","Viande de Volailles","2015","Milliers de tonnes","316"
"Bilans Alimentaires (2010-)","Kazakhstan","Nourriture","Viande de Volailles","2019","Milliers de tonnes","356"
"Bilans Alimentaires (2010-)","Kenya","Nourriture","Viande de Volailles","2015","Milliers de tonnes","43"
"Bilans Alimentaires (2010-)","Kenya","Nourriture","Viande de Volailles","2019","Milliers de tonnes","85"
"Bilans Alimentaires (2010-)","Kirghizistan","Nourriture","Viande de Volailles","2015","Milliers de tonnes","22"
"Bilans Alimentaires (2010-)","Kirghizistan","Nourriture","Viande de Volailles","2019","Milliers de tonnes","42"
"Bilans Alimentaires (2010-)","Kiribati","Nourriture","Viande de Volailles","2015","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Kiribati","Nourriture","Viande de Volailles","2019","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Koweït","Nourriture","Viande de Volailles","2015","Milliers de tonnes","180"
"Bilans Alimentaires (2010-)","Koweït","Nourriture","Viande de Volailles","2019","Milliers de tonnes","204"
"Bilans Alimentaires (2010-)","Lesotho","Nourriture","Viande de Volailles","2015","Milliers de tonnes","19"
"Bilans Alimentaires (2010-)","Lesotho","Nourriture","Viande de Volailles","2019","Milliers de tonnes","16"
"Bilans Alimentaires (2010-)","Lettonie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","41"
"Bilans Alimentaires (2010-)","Lettonie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","40"
"Bilans Alimentaires (2010-)","Liban","Nourriture","Viande de Volailles","2015","Milliers de tonnes","115"
"Bilans Alimentaires (2010-)","Liban","Nourriture","Viande de Volailles","2019","Milliers de tonnes","119"
"Bilans Alimentaires (2010-)","Libéria","Nourriture","Viande de Volailles","2015","Milliers de tonnes","51"
"Bilans Alimentaires (2010-)","Libéria","Nourriture","Viande de Volailles","2019","Milliers de tonnes","52"
"Bilans Alimentaires (2010-)","Libye","Nourriture","Viande de Volailles","2015","Milliers de tonnes","209"
"Bilans Alimentaires (2010-)","Libye","Nourriture","Viande de Volailles","2019","Milliers de tonnes","200"
"Bilans Alimentaires (2010-)","Lituanie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","78"
"Bilans Alimentaires (2010-)","Lituanie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","83"
"Bilans Alimentaires (2010-)","Luxembourg","Nourriture","Viande de Volailles","2015","Milliers de tonnes","11"
"Bilans Alimentaires (2010-)","Luxembourg","Nourriture","Viande de Volailles","2019","Milliers de tonnes","12"
"Bilans Alimentaires (2010-)","Macédoine du Nord","Nourriture","Viande de Volailles","2015","Milliers de tonnes","39"
"Bilans Alimentaires (2010-)","Macédoine du Nord","Nourriture","Viande de Volailles","2019","Milliers de tonnes","42"
"Bilans Alimentaires (2010-)","Madagascar","Nourriture","Viande de Volailles","2015","Milliers de tonnes","81"
"Bilans Alimentaires (2010-)","Madagascar","Nourriture","Viande de Volailles","2019","Milliers de tonnes","85"
"Bilans Alimentaires (2010-)","Malaisie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","1258"
"Bilans Alimentaires (2010-)","Malaisie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","1254"
"Bilans Alimentaires (2010-)","Malawi","Nourriture","Viande de Volailles","2015","Milliers de tonnes","99"
"Bilans Alimentaires (2010-)","Malawi","Nourriture","Viande de Volailles","2019","Milliers de tonnes","136"
"Bilans Alimentaires (2010-)","Maldives","Nourriture","Viande de Volailles","2015","Milliers de tonnes","6"
"Bilans Alimentaires (2010-)","Maldives","Nourriture","Viande de Volailles","2019","Milliers de tonnes","7"
"Bilans Alimentaires (2010-)","Mali","Nourriture","Viande de Volailles","2015","Milliers de tonnes","45"
"Bilans Alimentaires (2010-)","Mali","Nourriture","Viande de Volailles","2019","Milliers de tonnes","48"
"Bilans Alimentaires (2010-)","Malte","Nourriture","Viande de Volailles","2015","Milliers de tonnes","11"
"Bilans Alimentaires (2010-)","Malte","Nourriture","Viande de Volailles","2019","Milliers de tonnes","11"
"Bilans Alimentaires (2010-)","Maroc","Nourriture","Viande de Volailles","2015","Milliers de tonnes","699"
"Bilans Alimentaires (2010-)","Maroc","Nourriture","Viande de Volailles","2019","Milliers de tonnes","751"
"Bilans Alimentaires (2010-)","Maurice","Nourriture","Viande de Volailles","2015","Milliers de tonnes","49"
"Bilans Alimentaires (2010-)","Maurice","Nourriture","Viande de Volailles","2019","Milliers de tonnes","53"
"Bilans Alimentaires (2010-)","Mauritanie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","21"
"Bilans Alimentaires (2010-)","Mauritanie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","30"
"Bilans Alimentaires (2010-)","Mexique","Nourriture","Viande de Volailles","2015","Milliers de tonnes","3947"
"Bilans Alimentaires (2010-)","Mexique","Nourriture","Viande de Volailles","2019","Milliers de tonnes","4543"
"Bilans Alimentaires (2010-)","Mongolie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","8"
"Bilans Alimentaires (2010-)","Mongolie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","10"
"Bilans Alimentaires (2010-)","Monténégro","Nourriture","Viande de Volailles","2015","Milliers de tonnes","10"
"Bilans Alimentaires (2010-)","Monténégro","Nourriture","Viande de Volailles","2019","Milliers de tonnes","10"
"Bilans Alimentaires (2010-)","Mozambique","Nourriture","Viande de Volailles","2015","Milliers de tonnes","100"
"Bilans Alimentaires (2010-)","Mozambique","Nourriture","Viande de Volailles","2019","Milliers de tonnes","120"
"Bilans Alimentaires (2010-)","Myanmar","Nourriture","Viande de Volailles","2015","Milliers de tonnes","1580"
"Bilans Alimentaires (2010-)","Myanmar","Nourriture","Viande de Volailles","2019","Milliers de tonnes","1745"
"Bilans Alimentaires (2010-)","Namibie","Nourriture","Viande de Volailles","2015","Milliers de tonnes","29"
"Bilans Alimentaires (2010-)","Namibie","Nourriture","Viande de Volailles","2019","Milliers de tonnes","29"
"Bilans Alimentaires (2010-)","Népal","Nourriture","Viande de Volailles","2015","Milliers de tonnes","46"
