Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Bilans Alimentaires (2010-)","Grèce","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","71"
"Bilans Alimentaires (2010-)","Grèce","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","79"
"Bilans Alimentaires (2010-)","Grenade","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","7"
"Bilans Alimentaires (2010-)","Grenade","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","7"
"Bilans Alimentaires (2010-)","Guatemala","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","113"
"Bilans Alimentaires (2010-)","Guatemala","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","137"
"Bilans Alimentaires (2010-)","Guinée","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","19"
"Bilans Alimentaires (2010-)","Guinée","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","40"
"Bilans Alimentaires (2010-)","Guinée-Bissau","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","3"
"Bilans Alimentaires (2010-)","Guinée-Bissau","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","3"
"Bilans Alimentaires (2010-)","Guyana","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Guyana","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Haïti","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","84"
"Bilans Alimentaires (2010-)","Haïti","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","91"
"Bilans Alimentaires (2010-)","Honduras","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","15"
"Bilans Alimentaires (2010-)","Honduras","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","15"
"Bilans Alimentaires (2010-)","Hongrie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","42"
"Bilans Alimentaires (2010-)","Hongrie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","76"
"Bilans Alimentaires (2010-)","Îles Salomon","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","3"
"Bilans Alimentaires (2010-)","Îles Salomon","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","4"
"Bilans Alimentaires (2010-)","Inde","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Inde","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Indonésie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","3"
"Bilans Alimentaires (2010-)","Indonésie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Iran (République islamique d')","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","3"
"Bilans Alimentaires (2010-)","Iran (République islamique d')","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","4"
"Bilans Alimentaires (2010-)","Iraq","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","257"
"Bilans Alimentaires (2010-)","Iraq","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","108"
"Bilans Alimentaires (2010-)","Irlande","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","128"
"Bilans Alimentaires (2010-)","Irlande","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","95"
"Bilans Alimentaires (2010-)","Islande","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Islande","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Israël","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Israël","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Italie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","99"
"Bilans Alimentaires (2010-)","Italie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","94"
"Bilans Alimentaires (2010-)","Jamaïque","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","41"
"Bilans Alimentaires (2010-)","Jamaïque","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","32"
"Bilans Alimentaires (2010-)","Japon","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","948"
"Bilans Alimentaires (2010-)","Japon","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","1094"
"Bilans Alimentaires (2010-)","Jordanie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","88"
"Bilans Alimentaires (2010-)","Jordanie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","62"
"Bilans Alimentaires (2010-)","Kazakhstan","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","163"
"Bilans Alimentaires (2010-)","Kazakhstan","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","182"
"Bilans Alimentaires (2010-)","Kenya","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Kenya","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Kirghizistan","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","30"
"Bilans Alimentaires (2010-)","Kirghizistan","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","34"
"Bilans Alimentaires (2010-)","Kiribati","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","1"
"Bilans Alimentaires (2010-)","Kiribati","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","2"
"Bilans Alimentaires (2010-)","Koweït","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","131"
"Bilans Alimentaires (2010-)","Koweït","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","154"
"Bilans Alimentaires (2010-)","Lesotho","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","18"
"Bilans Alimentaires (2010-)","Lesotho","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","19"
"Bilans Alimentaires (2010-)","Lettonie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","26"
"Bilans Alimentaires (2010-)","Lettonie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","48"
"Bilans Alimentaires (2010-)","Liban","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","14"
"Bilans Alimentaires (2010-)","Liban","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","16"
"Bilans Alimentaires (2010-)","Libéria","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","39"
"Bilans Alimentaires (2010-)","Libéria","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","36"
"Bilans Alimentaires (2010-)","Libye","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","88"
"Bilans Alimentaires (2010-)","Libye","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","76"
"Bilans Alimentaires (2010-)","Lituanie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","40"
"Bilans Alimentaires (2010-)","Lituanie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","49"
"Bilans Alimentaires (2010-)","Luxembourg","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","11"
"Bilans Alimentaires (2010-)","Luxembourg","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","12"
"Bilans Alimentaires (2010-)","Macédoine du Nord","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","38"
"Bilans Alimentaires (2010-)","Macédoine du Nord","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","41"
"Bilans Alimentaires (2010-)","Madagascar","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Madagascar","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Malaisie","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","57"
"Bilans Alimentaires (2010-)","Malaisie","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","73"
"Bilans Alimentaires (2010-)","Malawi","Importations - Quantité","Viande de Volailles","2015","Milliers de tonnes","0"
"Bilans Alimentaires (2010-)","Malawi","Importations - Quantité","Viande de Volailles","2019","Milliers de tonnes","0"
